ALBUM_NAME,ARTIST,ALBUM_NAME_COMPLETE,SONG
The Warning,Queensrÿche,The Warning (1984),Take Hold of the Flame
Frost and Fire,Cirith Ungol,Frost and Fire (1981),Frost and Fire
Victims of Deception,Heathen,Victims of Deception (1991),Hypnotized
Somewhere Out in Space,Gamma Ray,Somewhere Out in Space (1997),Beyond The Black Hole
Victims of Deception,Heathen,Victims of Deception (1991),Prisoners Of Fate
Pentagram,Pentagram,Pentagram (1985),20 Buck Spin
By Inheritance,Artillery,By Inheritance (1990),Bombfood
The Puppet Master,King Diamond,The Puppet Master (2003),Blood to Walk
No Place for Disgrace,Flotsam and Jetsam,No Place for Disgrace (1988),No Place For Disgrace
Voimasta ja kunniasta,Moonsorrow,Voimasta ja kunniasta (2001),Sankaritarina
Pentagram,Pentagram,Pentagram (1985),Sign of the Wolf (Pentagram)
Quartz,Quartz,Quartz (1977),Mainline Riders
Dead Winter Dead,Savatage,Dead Winter Dead (1995),Dead Winter Dead
The Nightcomers,Holocaust,The Nightcomers (1981),Smokin' Valves
Tunes of War,Grave Digger,Tunes of War (1996),Rebellion (The Clans Are Marching)
Danzig III: How the Gods Kill,Danzig,Danzig III: How the Gods Kill (1992),Dirty Black Summer
Ample Destruction,Jag Panzer,Ample Destruction (1984),Symphony of Terror
Menace to Society,Lizzy Borden,Menace to Society (1986),Notorious
Frost and Fire,Cirith Ungol,Frost and Fire (1981),I'm Alive
Darkness Descends,Dark Angel,Darkness Descends (1986),The Burning of Sodom
Seven Churches,Possessed,Seven Churches (1985),Death Metal
Symbol of Salvation,Armored Saint,Symbol of Salvation (1991),Reign of Fire
Forged in Fire,Anvil,Forged in Fire (1983),Winged Assassins
Burnt Offerings,Iced Earth,Burnt Offerings (1995),Brainwashed
Game Over,Nuclear Assault,Game Over (1986),Vengence
Traveller,The Lord Weird Slough Feg,Traveller (2003),High Passage / Low Passage
The Ultra-Violence,Death Angel,The Ultra-Violence (1987),Evil Priest
Killing Technology,Voivod,Killing Technology (1987),Overreaction
Danzig II: Lucifuge,Danzig,Danzig II: Lucifuge (1990),Devil's Plaything
Promised Land,Queensrÿche,Promised Land (1994),Promised Land
See You in Hell,Grim Reaper,See You in Hell (1983),All Hell Let Loose
Dreaming Neon Black,Nevermore,Dreaming Neon Black (1999),Beyond Within
The Politics of Ecstasy,Nevermore,The Politics of Ecstasy (1996),The Seven Tongues of God
Taking Over,Overkill,Taking Over (1987),Deny The Cross
Symbol of Salvation,Armored Saint,Symbol of Salvation (1991),Hanging Judge
Pleasures of the Flesh,Exodus,Pleasures of the Flesh (1987),Till Death Do Us Part
The Human Equation,Ayreon,The Human Equation (2004),Day Sixteen: Loser
Morningrise,Opeth,Morningrise (1996),To Bid You Farewell
Covenant,Morbid Angel,Covenant (1993),Rapture
The Mantle,Agalloch,The Mantle (2002),You Were But A Ghost In My Arms
Port Royal,Running Wild,Port Royal (1988),Conquistadores
Forbidden Evil,Forbidden,Forbidden Evil (1988),Chalice of Blood
Red, Hot and Heavy,Pretty Maids,Red, Hot and Heavy (1984),Back to Back
Under Jolly Roger,Running Wild,Under Jolly Roger (1987),Under Jolly Roger
Battle Cry,Omen,Battle Cry (1984),Battle Cry
Focus,Cynic,Focus (1993),Veil of Maya
Swansong,Carcass,Swansong (1996),Keep on Rotting in the Free World
Blessed Are the Sick,Morbid Angel,Blessed Are the Sick (1991),Blessed Are the Sick / Leading the Rats
Anthems to the Welkin at Dusk,Emperor,Anthems to the Welkin at Dusk (1997),The Loss and Curse of Reverence
City,Strapping Young Lad,City (1997),All Hail the New Flesh
Marrow of the Spirit,Agalloch,Marrow of the Spirit (2010),Black Lake Nidstång
Draconian Times,Paradise Lost,Draconian Times (1995),The Last Time
Blind,Corrosion of Conformity,Blind (1991),Vote with a Bullet
Awake,Dream Theater,Awake (1994),Voices
Houdini,Melvins,Houdini (1993),Night Goat
Storm of the Light's Bane,Dissection,Storm of the Light's Bane (1995),Thorns of Crimson Death
Crimson Glory,Crimson Glory,Crimson Glory (1986),Azrael
One Second,Paradise Lost,One Second (1997),One Second
A Sun That Never Sets,Neurosis,A Sun That Never Sets (2001),The Tide
Darkness Descends,Dark Angel,Darkness Descends (1986),Darkness Descends
Iced Earth,Iced Earth,Iced Earth (1991),Iced Earth
The Dreadful Hours,My Dying Bride,The Dreadful Hours (2001),The Dreadful Hours
Evil Empire,Rage Against the Machine,Evil Empire (1996),Bulls on Parade
Lateralus,Tool,Lateralus (2001),Parabola
Viva Emptiness,Katatonia,Viva Emptiness (2003),Ghost of the Sun
1919 Eternal,Black Label Society,1919 Eternal (2002),Demise of Sanity
Into the Mirror Black,Sanctuary,Into the Mirror Black (1990),Seasons of Destruction
No World Order,Gamma Ray,No World Order (2001),Dethrone Tyranny
Left Hand Path,Entombed,Left Hand Path (1990),Left Hand Path
Nattfödd,Finntroll,Nattfödd (2004),Trollhammaren
あくまのうた (Akuma no uta),Boris,あくまのうた (Akuma no uta) (2003),Ibitsu
Head On,Samson,Head On (1980),Hard Times
The Marriage of Heaven and Hell: Part One,Virgin Steele,The Marriage of Heaven and Hell: Part One (1994),I Will Come For You
Toxicity,System of a Down,Toxicity (2001),Aerials
Tomb of the Mutilated,Cannibal Corpse,Tomb of the Mutilated (1992),Hammer Smashed Face
The IVth Crusade,Bolt Thrower,The IVth Crusade (1992),The IVth Crusade
Accelerated Evolution,The Devin Townsend Band,Accelerated Evolution (2003),Storm
No Exit,Fates Warning,No Exit (1988),Anarchy Divine
Blind,Corrosion of Conformity,Blind (1991),Dance of the Dead
Forged in Fire,Anvil,Forged in Fire (1983),Forged in Fire
Natural Born Chaos,Soilwork,Natural Born Chaos (2002),Follow the Hollow
Age of Winters,The Sword,Age of Winters (2006),Freya
Metropolis Pt. 2: Scenes From a Memory,Dream Theater,Metropolis Pt. 2: Scenes From a Memory (1999),Strange Déjà Vu
Anthems of Rebellion,Arch Enemy,Anthems of Rebellion (2003),We Will Rise
Ignorance,Sacred Reich,Ignorance (1987),Ignorance
Deftones,Deftones,Deftones (2003),Minerva
Hatebreeder,Children of Bodom,Hatebreeder (1999),Downfall
Wages of Sin,Arch Enemy,Wages of Sin (2001),Ravenous
The Blackening,Machine Head,The Blackening (2007),Aesthetics of Hate
Astro-Creep: 2000 - Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head,White Zombie,Astro-Creep: 2000 - Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head (1995),Super-Charger Heaven
Streets: A Rock Opera,Savatage,Streets: A Rock Opera (1991),Jesus Saves
Terror Squad,Artillery,Terror Squad (1987),The Challenge
Down Among the Deadmen,The Lord Weird Slough Feg,Down Among the Deadmen (2000),Warriors Dawn
Episode,Stratovarius,Episode (1996),Speed of Light
System of a Down,System of a Down,System of a Down (1998),Sugar
Follow the Leader,Korn,Follow the Leader (1998),Freak on a Leash
Houdini,Melvins,Houdini (1993),Honey Bucket
Wayward Sons of Mother Earth,Skyclad,Wayward Sons of Mother Earth (1991),The Widdershins Jig
Seven Churches,Possessed,Seven Churches (1985),The Exorcist
Mabool: The Story of the Three Sons of Seven,Orphaned Land,Mabool: The Story of the Three Sons of Seven (2004),Ocean Land (The Revelation)
The Evolution of Chaos,Heathen,The Evolution of Chaos (2010),Dying Season
Tokyo Blade,Tokyo Blade,Tokyo Blade (1983),If Heaven Is Hell
Refuge Denied,Sanctuary,Refuge Denied (1987),Battle Angels
March of the Saint,Armored Saint,March of the Saint (1984),Can U Deliver
Grin,Coroner,Grin (1993),Internal Conflicts
Seven Churches,Possessed,Seven Churches (1985),Burning in Hell
War and Pain,Voivod,War and Pain (1984),Voivod
Sleep's Holy Mountain,Sleep,Sleep's Holy Mountain (1992),Holy Mountain
March of the Saint,Armored Saint,March of the Saint (1984),March of the Saint
The Marriage of Heaven and Hell Part Two,Virgin Steele,The Marriage of Heaven and Hell Part Two (1995),Emalaith
Manic Frustration,Trouble,Manic Frustration (1992),Memory's Garden
Unto the Locust,Machine Head,Unto the Locust (2011),Locust
Iron Will,Grand Magus,Iron Will (2008),Fear Is the Key
Death Penalty,Witchfinder General,Death Penalty (1982),Burning a Sinner
Clayman,In Flames,Clayman (2000),Pinball Map
Irreligious,Moonspell,Irreligious (1996),Opium
The Silent Enigma,Anathema,The Silent Enigma (1995),Restless Oblivion
Abducted,Hypocrisy,Abducted (1996),Roswell 47
Effigy of the Forgotten,Suffocation,Effigy of the Forgotten (1991),Infecting The Crypts
Twisted Into Form,Forbidden,Twisted Into Form (1990),Step by Step
Panopticon,Isis,Panopticon (2004),So Did We
Paradise Lost,Symphony X,Paradise Lost (2007),Domination
Verisäkeet,Moonsorrow,Verisäkeet (2005),Jotunheim
Forever Autumn,Lake of Tears,Forever Autumn (1999),So Fell Autumn Rain
King of the Dead,Cirith Ungol,King of the Dead (1984),Black Machine
Dead Heart in a Dead World,Nevermore,Dead Heart in a Dead World (2000),Inside Four Walls
Hammer of the North,Grand Magus,Hammer of the North (2010),Ravens Guide Our Way
Vikingligr veldi,Enslaved,Vikingligr veldi (1994),Vetrarnótt
The Force,Onslaught,The Force (1986),Metal Forces
Karma,Kamelot,Karma (2001),Forever
Russian Roulette,Accept,Russian Roulette (1986),Aiming High
Below the Lights,Enslaved,Below the Lights (2003),As Fire Swept Clean the Earth
Epica,Kamelot,Epica (2003),The Center of the Universe
Black Future,Vektor,Black Future (2009),Accelerating Universe
A Distant Thunder,Helstar,A Distant Thunder (1988),The King Is Dead
Death in the Nursery,Legend,Death in the Nursery (1982),Why Don't You Kill Me?
Clandestine,Entombed,Clandestine (1991),Living Dead
Fabulous Disaster,Exodus,Fabulous Disaster (1989),Verbal Razors
Black Hand Inn,Running Wild,Black Hand Inn (1994),Soulless
In Search of Truth,Evergrey,In Search of Truth (2001),The Masterplan
The Divine Wings of Tragedy,Symphony X,The Divine Wings of Tragedy (1997),Of Sins And Shadow
Storm of the Light's Bane,Dissection,Storm of the Light's Bane (1995),Where Dead Angels Lie
Deliverance,Corrosion of Conformity,Deliverance (1994),Albatross
Voimasta ja kunniasta,Moonsorrow,Voimasta ja kunniasta (2001),Sankarihauta
Bullhead,Melvins,Bullhead (1991),Boris
Probot,Probot,Probot (2004),Centuries of Sin (with Cronos)
No Place for Disgrace,Flotsam and Jetsam,No Place for Disgrace (1988),I Live You Die
Train of Thought,Dream Theater,Train of Thought (2003),As I Am
The System Has Failed,Megadeth,The System Has Failed (2004),The Scorpion
Storm of the Light's Bane,Dissection,Storm of the Light's Bane (1995),Night's Blood
Survive,Nuclear Assault,Survive (1988),Brainwashed
Tales From the Twilight World,Blind Guardian,Tales From the Twilight World (1990),Lost in the Twilight Hall
W.F.O.,Overkill,W.F.O. (1994),Bastard Nation
The Metal Opera Pt. II,Avantasia,The Metal Opera Pt. II (2002),The Final Sacrifice
White Pony,Deftones,White Pony (2000),Digital Bath
Spectrum of Death,Morbid Saint,Spectrum of Death (1990),Assassin
Court in the Act,Satan,Court in the Act (1983),No Turning Back
Narita,Riot,Narita (1979),Road Racin’
A Blaze in the Northern Sky,Darkthrone,A Blaze in the Northern Sky (1992),The Pagan Winter
The Black Halo,Kamelot,The Black Halo (2005),March of Mephisto
Iron Will,Grand Magus,Iron Will (2008),Like the Oar Strikes the Water
A Deeper Kind of Slumber,Tiamat,A Deeper Kind of Slumber (1997),Cold Seed
Born Too Late,Saint Vitus,Born Too Late (1986),Dying Inside
Transilvanian Hunger,Darkthrone,Transilvanian Hunger (1994),Skald av Satans Sol
The Red in the Sky Is Ours,At the Gates,The Red in the Sky Is Ours (1992),Kingdom Gone
...And the Circus Leaves Town,Kyuss,...And the Circus Leaves Town (1995),Spaceship Landing
Oceanic,Isis,Oceanic (2002),The Beginning and the End
La masquerade infernale,Arcturus,La masquerade infernale (1997),The Chaos Path
Ænima,Tool,Ænima (1996),Ænema
Awaken the Guardian,Fates Warning,Awaken the Guardian (1986),Valley of the Dolls
Persecution Mania,Sodom,Persecution Mania (1987),Persecution Mania
Invictus,Virgin Steele,Invictus (1998),Veni, Vidi, Vici
Left Hand Path,Entombed,Left Hand Path (1990),Revel in Flesh
Crucible,Halford,Crucible (2002),Betrayal
Beyond the Gates,Possessed,Beyond the Gates (1986),Beyond the Gates
Love You to Pieces,Lizzy Borden,Love You to Pieces (1985),American Metal
World Downfall,Terrorizer,World Downfall (1989),Fear of Napalm
Shock Tactics,Samson,Shock Tactics (1981),Riding With the Angels
Into the Depths of Sorrow,Solitude Aeturnus,Into the Depths of Sorrow (1991),Mirror of Sorrow
Stand Up and Fight,Quartz,Stand Up and Fight (1980),Charlie Snow
Punishment for Decadence,Coroner,Punishment for Decadence (1988),Skeleton on Your Shoulder
Wild Cat,Tygers of Pan Tang,Wild Cat (1980),Killers
Around the Fur,Deftones,Around the Fur (1997),Be Quiet and Drive (Far Away)
Cruelty and the Beast,Cradle of Filth,Cruelty and the Beast (1998),Cruelty Brought Thee Orchids
Given to the Rising,Neurosis,Given to the Rising (2007),Given to the Rising
Reroute to Remain,In Flames,Reroute to Remain (2002),Trigger
Crystal Logic,Manilla Road,Crystal Logic (1983),Flaming Metal System
The Eye of Every Storm,Neurosis,The Eye of Every Storm (2004),The Eye of Every Storm
Static Tensions,Kylesa,Static Tensions (2009),Scapegoat
A Sultans Ransom,Cloven Hoof,A Sultans Ransom (1989),Mistress of the Forest
Streetcleaner,Godflesh,Streetcleaner (1989),Streetcleaner
The Gallery,Dark Tranquillity,The Gallery (1995),The Gallery
Shovel Headed Kill Machine,Exodus,Shovel Headed Kill Machine (2005),Deathamphetamine
ThunderSteel,Riot,ThunderSteel (1988),Flight of the Warrior
Sentence of Death,Destruction,Sentence of Death (1984) [EP],Mad Butcher
Holy Land,Angra,Holy Land (1996),Nothing to Say
Breaking the Silence,Heathen,Breaking the Silence (1987),Open The Grave
The Divine Wings of Tragedy,Symphony X,The Divine Wings of Tragedy (1997),The Divine Wings of Tragedy
Act III,Death Angel,Act III (1990),Seemingly Endless Time
The More Things Change...,Machine Head,The More Things Change... (1997),Ten Ton Hammer
Nosferatu,Helstar,Nosferatu (1989),Baptized in Blood
Dances of Death (And Other Walking Shadows),Mekong Delta,Dances of Death (And Other Walking Shadows) (1990),Transgressor
The Sham Mirrors,Arcturus,The Sham Mirrors (2002),Nightmare Heaven
Hvis lyset tar oss,Burzum,Hvis lyset tar oss (1994),Det Som En Gang Var
Rage for Order,Queensrÿche,Rage for Order (1986),Screaming in Digital
The Land of Rape and Honey,Ministry,The Land of Rape and Honey (1988),Stigmata
Once,Nightwish,Once (2004),Ghost Love Score
Axe Crazy / War Machine,Jaguar,Axe Crazy / War Machine (1982) [Single],Axe Crazy
Soundchaser,Rage,Soundchaser (2003),Soundchaser
Spectrum of Death,Morbid Saint,Spectrum of Death (1990),Lock up Your Children
The Big Black,Orange Goblin,The Big Black (2000),Scorpionica
V: Hävitetty,Moonsorrow,V: Hävitetty (2007),Jäästä syntynyt / Varjojen virta
The Unreal Never Lived,YOB,The Unreal Never Lived (2005),Quantum Mystic
Cause of Death,Obituary,Cause of Death (1990),Cause of Death
World Coming Down,Type O Negative,World Coming Down (1999),All Hallows Eve
Traced in Air,Cynic,Traced in Air (2008),Evolutionary Sleeper
Death Magic Doom,Candlemass,Death Magic Doom (2009),Hammer of Doom
Delirious Nomad,Armored Saint,Delirious Nomad (1985),Nervous Man
Prince of the Poverty Line,Skyclad,Prince of the Poverty Line (1994),Cardboard City
Dopethrone,Electric Wizard,Dopethrone (2000),Vinum Sabbathi
Crystal Logic,Manilla Road,Crystal Logic (1983),Crystal Logic
Nothingface,Voivod,Nothingface (1989),Nothingface
Terria,Devin Townsend,Terria (2001),Canada
The Spectre Within,Fates Warning,The Spectre Within (1985),Orphan Gypsy
Breaking the Silence,Heathen,Breaking the Silence (1987),Death By Hanging
Times of Grace,Neurosis,Times of Grace (1999),The Last You'll Know
The Skull,Trouble,The Skull (1985),Wickedness of Man
Wildhoney,Tiamat,Wildhoney (1994),Gaia
Danzig,Danzig,Danzig (1988),Am I Demon
Forbidden Evil,Forbidden,Forbidden Evil (1988),Through Eyes of Glass
Gods of the Earth,The Sword,Gods of the Earth (2008),How Heavy This Axe
Master Control,Liege Lord,Master Control (1988),Master Control
Hellbilly Deluxe,Rob Zombie,Hellbilly Deluxe (1998),Superbeast
Mutter,Rammstein,Mutter (2001),Feuer frei!
Black Future,Vektor,Black Future (2009),Black Future
The Metal Opera,Avantasia,The Metal Opera (2001),Sign of the Cross
Like Gods of the Sun,My Dying Bride,Like Gods of the Sun (1996),A Kiss to Remember
Betty,Helmet,Betty (1994),Wilma's Rainbow
Digital Dictator,Vicious Rumors,Digital Dictator (1988),Digital Dictator
The Blessed Hellride,Black Label Society,The Blessed Hellride (2003),Stillborn
Hellfire Club,Edguy,Hellfire Club (2004),The Piper Never Dies
Buried Alive / Blitzkrieg,Blitzkrieg,Buried Alive / Blitzkrieg (1981) [Single],Buried Alive
Ample Destruction,Jag Panzer,Ample Destruction (1984),Generally Hostile
The Wake of Magellan,Savatage,The Wake of Magellan (1997),The Wake of Magellan
Ecliptica,Sonata Arctica,Ecliptica (1999),FullMoon
Axioma Ethica Odini,Enslaved,Axioma Ethica Odini (2010),Ethica Odini
Red, Hot and Heavy,Pretty Maids,Red, Hot and Heavy (1984),Red, Hot and Heavy
Review Your Choices,Pentagram,Review Your Choices (1999),Forever My Queen
Doomsday Machine,Arch Enemy,Doomsday Machine (2005),Nemesis
Horrorscope,Overkill,Horrorscope (1991),Horrorscope
Through the Ashes of Empires,Machine Head,Through the Ashes of Empires (2003),Imperium
Dreamweaver,Sabbat,Dreamweaver (1989),Do Dark Horses Dream of Nightmares?
Piece of Time,Atheist,Piece of Time (1990),Piece of Time
Schizophrenia,Sepultura,Schizophrenia (1987),To the Wall
Enemy of the Sun,Neurosis,Enemy of the Sun (1993),Raze the Stray
Elegy,Amorphis,Elegy (1996),Better Unborn
Blood Lust / In nomine Satanas,Venom,Blood Lust / In nomine Satanas (1982) [Single],Bloodlust
Down,Sentenced,Down (1996),Noose
Stronger Than Heaven,Stormwitch,Stronger Than Heaven (1986),Stronger Than Heaven
Danzig II: Lucifuge,Danzig,Danzig II: Lucifuge (1990),Her Black Wings
The Perfect Element I,Pain of Salvation,The Perfect Element I (2000),The Perfect Element
War of Words,Fight,War of Words (1993),Into the Pit
Black in Mind,Rage,Black in Mind (1995),Sent by the Devil
All for One,Raven,All for One (1983),Break the Chain
Symphony of Enchanted Lands,Rhapsody,Symphony of Enchanted Lands (1998),Emerald Sword
Wolf's Return,Grand Magus,Wolf's Return (2005),Kingslayer
Demo Tape,Blitzkrieg,Demo Tape (1980) [EP],Armageddon
Shock Tactics,Samson,Shock Tactics (1981),Go to Hell
Dreamweaver,Sabbat,Dreamweaver (1989),Wildfire
From Mars to Sirius,Gojira,From Mars to Sirius (2005),Flying Whales
Under a Funeral Moon,Darkthrone,Under a Funeral Moon (1993),Natassja In Eternal Sleep
Dominator,W.A.S.P.,Dominator (2007),The Burning Man
Infernal Overkill,Destruction,Infernal Overkill (1985),Bestial Invasion
Outer Isolation,Vektor,Outer Isolation (2011),Tetrastructural Minds
Cause of Death,Obituary,Cause of Death (1990),Chopped in Half
Alive or Just Breathing,Killswitch Engage,Alive or Just Breathing (2002),My Last Serenade
Meantime,Helmet,Meantime (1992),In the Meantime
The New Black,Strapping Young Lad,The New Black (2006),Far Beyond Metal
Marching Out,Yngwie J. Malmsteen's Rising Force,Marching Out (1985),I Am a Viking
Somewhere Along the Highway,Cult of Luna,Somewhere Along the Highway (2006),Finland
From Mars to Sirius,Gojira,From Mars to Sirius (2005),Ocean Planet
The Black Halo,Kamelot,The Black Halo (2005),Soul Society
Deathcrush,Mayhem,Deathcrush (1987) [EP],Pure Fucking Armageddon
The Metal Opera,Avantasia,The Metal Opera (2001),Reach Out for the Light
Power of Inner Strength,Grip Inc.,Power of Inner Strength (1995),Hostage to Heaven
Focus,Cynic,Focus (1993),Textures
Live Insurrection,Halford,Live Insurrection (2001),Screaming in the Dark
Gates to Purgatory,Running Wild,Gates to Purgatory (1984),Prisoner of Our Time
Deathcrush,Mayhem,Deathcrush (1987) [EP],Necrolust
Fröm the Fjörds,Legend,Fröm the Fjörds (1979),The Destroyer
Mental Vortex,Coroner,Mental Vortex (1991),Metamorphosis
Somewhere Out in Space,Gamma Ray,Somewhere Out in Space (1997),Somewhere Out in Space
Puritanical Euphoric Misanthropia,Dimmu Borgir,Puritanical Euphoric Misanthropia (2001),Kings Of The Carnival Creation
Nighttime Birds,The Gathering,Nighttime Birds (1997),The May Song
Visions,Stratovarius,Visions (1997),The Kiss of Judas
Recreation Day,Evergrey,Recreation Day (2003),Recreation Day
The American Way,Sacred Reich,The American Way (1990),Love... Hate
Pierced From Within,Suffocation,Pierced From Within (1995),Pierced From Within
Bergtatt: Et eeventyr i 5 capitler,Ulver,Bergtatt: Et eeventyr i 5 capitler (1995),Capitel I: I troldskog faren vild
Surf Nicaragua,Sacred Reich,Surf Nicaragua (1988) [EP],Surf Nicaragua
Wintersun,Wintersun,Wintersun (2004),Starchild
Det som engang var,Burzum,Det som engang var (1993),Lost Wisdom
Theli,Therion,Theli (1996),To Mega Therion
Blessed Black Wings,High on Fire,Blessed Black Wings (2005),Devilution
Tales From the Thousand Lakes,Amorphis,Tales From the Thousand Lakes (1994),The Castaway
Hellbilly Deluxe,Rob Zombie,Hellbilly Deluxe (1998),Living Dead Girl
Panopticon,Isis,Panopticon (2004),In Fiction
Dopethrone,Electric Wizard,Dopethrone (2000),Funeralopolis
Primitive,Soulfly,Primitive (2000),Back to the Primitive
The Force,Onslaught,The Force (1986),Let There be Death
Character,Dark Tranquillity,Character (2005),Lost to Apathy
Give 'Em Hell,Witchfynde,Give 'Em Hell (1980),Give 'Em Hell
The Deluge,Manilla Road,The Deluge (1986),Divine Victim
Probot,Probot,Probot (2004),Shake Your Blood (with Lemmy)
Sailing the Seas of Cheese,Primus,Sailing the Seas of Cheese (1991),Tommy The Cat
Róka Hasa Rádió,Thy Catafalque,Róka Hasa Rádió (2009),Molekuláris gépezetek
Highway Rider / Red Lights,Black Axe,Highway Rider / Red Lights (1980) [Single],Highway Rider
Forest of Equilibrium,Cathedral,Forest of Equilibrium (1991),Ebony Tears
Sleep's Holy Mountain,Sleep,Sleep's Holy Mountain (1992),Dragonaut
Turn Loose the Swans,My Dying Bride,Turn Loose the Swans (1993),The Crown of Sympathy
Traveller,The Lord Weird Slough Feg,Traveller (2003),Vargr Theme / Confrontation (Genetic Prophesy)
Badmotorfinger,Soundgarden,Badmotorfinger (1991),Slaves & Bulldozers
Don't Need Your Money / Wiped Out,Raven,Don't Need Your Money / Wiped Out (1980) [Single],Don't Need Your Money
The Privilege of Power,Riot,The Privilege of Power (1990),Dance of Death
Warning of Danger,Omen,Warning of Danger (1985),March On
Legend,Legend,Legend (1981),Song for a Soldier
Clouds,Tiamat,Clouds (1992),The Sleeping Beauty
Covenant,Morbid Angel,Covenant (1993),God of Emptiness
Death Penalty,Witchfinder General,Death Penalty (1982),Free Country
Master of the Rings,Helloween,Master of the Rings (1994),Sole Survivor
Wolverine Blues,Entombed,Wolverine Blues (1993),Out of Hand
Love You to Pieces,Lizzy Borden,Love You to Pieces (1985),Psychopath
Follow the Reaper,Children of Bodom,Follow the Reaper (2000),Hate Me!
Fear No Evil,Grim Reaper,Fear No Evil (1985),Fear No Evil
The Bleeding,Cannibal Corpse,The Bleeding (1994),Stripped, Raped And Strangled
Dragonslayer,Dream Evil,Dragonslayer (2002),The Chosen Ones